Location,Population,Total_Cases,Infection_Percentage
Montenegro,628051,159214,25.35048905
Andorra,77354,19272,24.9140316
Seychelles,98910,23806,24.06834496
Slovakia,5460726,1265056,23.16644344
Georgia,3979773,879368,22.09593361
Czechia,10724553,2298441,21.43157855
Slovenia,2078723,436366,20.99202251
San Marino,34010,6357,18.69156131
Serbia,6871547,1270407,18.48793292
Lithuania,2689862,486224,18.07616896
Estonia,1325188,226858,17.11892954
Maldives,543620,92754,17.06228616
Netherlands,17173094,2870459,16.71486221
Belgium,11632334,1914527,16.45866599
Bahrain,1748295,277964,15.89914746
Croatia,4081657,644206,15.78295285
United Kingdom,68207114,10722083,15.71988957
Cyprus,896005,139368,15.55437749
United States,332915074,49661145,14.9170611
Luxembourg,634814,93060,14.65941205
Israel,9291000,1348800,14.51727478
Latvia,1866934,260008,13.92700545
Liechtenstein,38254,5229,13.66915878
Austria,9043072,1217436,13.46263748
Switzerland,8715494,1101789,12.64172748
Ireland,4982904,610855,12.25901603
Hungary,9634162,1176038,12.20695687
France,67564251,8209911,12.15126473
Sweden,10160159,1226055,12.06728162
Argentina,45605823,5350867,11.7328592
Portugal,10167923,1181294,11.61784958
Mongolia,3329282,384912,11.56141174
Uruguay,3485152,401897,11.53169216
Armenia,2968128,341768,11.51459775
Spain,46745211,5273178,11.28068071
Costa Rica,5139053,567906,11.05079088
European Union,447189915,49170470,10.99543356
Panama,4381583,480090,10.95699887
Turkey,85042736,8986377,10.56689545
North Macedonia,2082661,218362,10.48475964
Europe,748962983,78142435,10.43341751
Brazil,213993441,22177059,10.36342932
Bulgaria,6896655,711364,10.31462354
Monaco,39520,4006,10.13663968
Lebanon,6769151,685162,10.12183064
Poland,37797000,3760048,9.948006456
North America,596581283,59275868,9.935924859
Colombia,51265841,5088008,9.924752819
High income,1214930230,119351511,9.823733746
Jordan,10269022,998492,9.723340743
Kuwait,4328553,413608,9.555341011
Greece,10370747,989814,9.544288372
Romania,19127772,1790571,9.361105935
Denmark,5813302,542181,9.326558297
Chile,19212362,1778370,9.256383989
Barbados,287708,26565,9.233319894
Moldova,4024025,368497,9.157423227
Kosovo,1782115,161176,9.044085258
South America,434260137,39113623,9.006956814
Palestine,5222756,463277,8.870355039
Suriname,591798,51149,8.64298291
Dominica,72172,6208,8.601673779
Bosnia and Herzegovina,3263459,280469,8.594224717
Italy,60367471,5164780,8.555567948
Ukraine,43466822,3705823,8.525635944
Cuba,11317498,963428,8.51272958
Qatar,2930524,244867,8.355741158
Botswana,2397240,196090,8.179823464
Malaysia,32776195,2678465,8.171982745
Malta,516100,40269,7.802557644
